Customer_ID,Serial_No,Product_Type,Contract_Status,Contract_Start,Contract_End,Support_Package,Warranty,Last_Year_Discount,Previous_Contracts,Renewal
C0001,S01001,Monitor,Active,2021-08-14,2023-08-18,Basic,Yes,18,4,Yes
C0002,S01002,Laptop,Expired,2020-11-21,2021-12-28,Standard,No,17,0,No
C0003,S01003,Monitor,Active,2022-12-21,2024-12-11,Premium,Yes,16,0,No
C0004,S01004,Monitor,Active,2022-07-15,2024-03-11,Standard,No,11,3,No
C0005,S01005,Laptop,Expired,2022-12-11,2024-01-12,Standard,No,6,3,No
C0006,S01006,Laptop,Active,2022-04-06,2023-12-31,Premium,Yes,17,5,Yes
C0007,S01007,Monitor,Expired,2021-12-02,2023-12-06,Standard,No,18,3,No
C0008,S01008,Printer,Active,2019-10-12,2021-10-27,Premium,Yes,21,2,Yes
C0009,S01009,Monitor,Expired,2020-02-01,2021-09-30,Standard,Yes,13,4,No
C0010,S01010,Monitor,Active,2019-01-12,2020-07-13,Premium,Yes,21,3,No
C0011,S01011,Monitor,Expired,2022-08-18,2023-11-26,Basic,Yes,12,1,Yes
C0012,S01012,Monitor,Expired,2022-06-30,2024-08-18,Premium,Yes,6,5,Yes
C0013,S01013,Laptop,Expired,2020-05-13,2022-02-06,Premium,No,17,1,Yes
C0014,S01014,Monitor,Expired,2021-01-23,2023-05-14,Premium,No,7,0,Yes
C0015,S01015,Printer,Expired,2019-02-04,2020-03-15,Premium,No,20,4,Yes
C0016,S01016,Laptop,Active,2020-12-27,2023-05-08,Standard,Yes,10,3,Yes
C0017,S01017,Printer,Active,2021-04-28,2022-05-13,Basic,Yes,23,1,No
C0018,S01018,Printer,Active,2019-03-31,2020-06-05,Premium,Yes,11,4,Yes
C0019,S01019,Printer,Expired,2021-02-14,2022-04-27,Standard,No,14,0,No
C0020,S01020,Printer,Active,2020-08-27,2021-12-23,Basic,Yes,13,2,No
C0021,S01021,Laptop,Expired,2021-08-27,2023-07-28,Basic,No,6,5,Yes
C0022,S01022,Laptop,Expired,2021-10-18,2023-07-09,Basic,No,19,4,No
C0023,S01023,Printer,Active,2020-02-22,2022-05-09,Basic,Yes,9,4,No
C0024,S01024,Printer,Active,2019-04-25,2020-04-27,Premium,Yes,8,2,No
C0025,S01025,Laptop,Expired,2020-09-08,2023-01-01,Premium,No,24,4,Yes
C0026,S01026,Laptop,Active,2022-05-04,2023-04-21,Standard,Yes,8,0,No
C0027,S01027,Laptop,Expired,2021-04-05,2023-04-24,Standard,No,22,0,No
C0028,S01028,Monitor,Expired,2022-01-03,2023-05-22,Standard,Yes,8,2,No
C0029,S01029,Monitor,Expired,2020-02-17,2021-04-17,Basic,Yes,21,5,Yes
C0030,S01030,Monitor,Expired,2022-10-31,2023-10-08,Basic,No,16,3,No
C0031,S01031,Printer,Expired,2022-12-14,2024-01-28,Premium,Yes,21,1,No
C0032,S01032,Monitor,Active,2020-12-29,2022-04-25,Basic,No,14,3,No
C0033,S01033,Printer,Active,2022-07-24,2023-08-22,Basic,Yes,5,4,Yes
C0034,S01034,Printer,Expired,2021-10-17,2023-08-21,Basic,No,22,1,Yes
C0035,S01035,Monitor,Expired,2021-01-30,2023-04-29,Standard,No,22,2,No
C0036,S01036,Printer,Active,2020-11-06,2022-08-27,Standard,Yes,18,2,Yes
C0037,S01037,Monitor,Active,2022-11-18,2024-06-20,Premium,No,19,5,No
C0038,S01038,Monitor,Expired,2020-04-01,2021-08-08,Basic,Yes,16,1,No
C0039,S01039,Laptop,Active,2021-07-08,2022-11-14,Basic,Yes,8,0,Yes
C0040,S01040,Monitor,Expired,2019-07-11,2020-08-06,Premium,Yes,7,1,No
C0041,S01041,Laptop,Active,2021-01-08,2022-01-03,Basic,No,24,4,Yes
C0042,S01042,Monitor,Expired,2022-01-27,2023-01-12,Basic,No,16,0,No
C0043,S01043,Monitor,Active,2021-09-04,2023-08-07,Standard,Yes,11,2,No
C0044,S01044,Laptop,Expired,2021-10-05,2022-08-05,Premium,Yes,15,1,No
C0045,S01045,Laptop,Active,2019-04-06,2021-05-10,Premium,No,5,3,No
C0046,S01046,Monitor,Active,2020-10-24,2023-02-04,Premium,Yes,10,5,Yes
C0047,S01047,Printer,Expired,2022-04-28,2024-04-01,Premium,Yes,19,3,Yes
C0048,S01048,Laptop,Active,2019-02-06,2021-04-28,Standard,No,19,5,Yes
C0049,S01049,Printer,Expired,2022-10-24,2024-04-08,Standard,Yes,23,4,Yes
C0050,S01050,Printer,Active,2019-10-06,2022-01-06,Basic,No,15,3,Yes
C0051,S01051,Printer,Expired,2019-08-05,2021-05-11,Basic,Yes,6,1,Yes
C0052,S01052,Laptop,Active,2021-05-16,2022-04-26,Basic,No,18,1,No
C0053,S01053,Printer,Expired,2021-05-22,2023-09-14,Basic,Yes,6,3,Yes
C0054,S01054,Laptop,Active,2022-07-20,2023-08-01,Standard,Yes,8,1,Yes
C0055,S01055,Printer,Expired,2019-03-03,2020-03-09,Premium,No,21,4,No
C0056,S01056,Monitor,Active,2020-08-18,2022-02-17,Standard,Yes,7,0,No
C0057,S01057,Monitor,Expired,2020-12-29,2021-12-10,Basic,No,17,4,Yes
C0058,S01058,Laptop,Expired,2022-09-27,2023-11-21,Standard,Yes,13,5,No
C0059,S01059,Monitor,Expired,2020-02-01,2021-06-28,Premium,No,11,4,No
C0060,S01060,Monitor,Active,2020-11-29,2022-05-21,Premium,No,19,5,Yes
C0061,S01061,Printer,Expired,2021-11-08,2022-10-29,Standard,No,15,1,No
C0062,S01062,Laptop,Active,2019-06-26,2021-04-05,Standard,No,24,0,No
C0063,S01063,Printer,Expired,2020-01-31,2021-03-12,Standard,Yes,6,1,No
C0064,S01064,Printer,Active,2020-03-20,2021-03-02,Basic,Yes,19,2,No
C0065,S01065,Printer,Expired,2022-06-10,2024-10-29,Standard,No,18,1,No
C0066,S01066,Printer,Active,2019-03-17,2020-12-12,Standard,No,24,5,No
C0067,S01067,Printer,Active,2019-09-22,2020-08-12,Standard,No,15,1,No
C0068,S01068,Printer,Expired,2020-03-30,2021-10-07,Premium,Yes,7,1,No
C0069,S01069,Printer,Active,2020-12-18,2021-10-21,Premium,Yes,21,0,No
C0070,S01070,Laptop,Active,2021-01-04,2022-07-10,Basic,Yes,16,1,No
C0071,S01071,Monitor,Expired,2022-11-08,2024-07-02,Basic,Yes,19,0,No
C0072,S01072,Printer,Active,2021-04-30,2022-04-20,Premium,No,20,3,Yes
C0073,S01073,Printer,Active,2022-10-22,2025-01-24,Premium,No,9,2,Yes
C0074,S01074,Printer,Active,2019-05-24,2021-07-05,Premium,No,24,0,No
C0075,S01075,Printer,Expired,2021-06-03,2022-04-26,Standard,Yes,10,5,Yes
C0076,S01076,Printer,Active,2021-12-28,2023-01-09,Standard,Yes,23,3,Yes
C0077,S01077,Printer,Expired,2022-01-27,2023-06-26,Premium,Yes,9,0,Yes
C0078,S01078,Monitor,Active,2020-01-31,2021-12-16,Standard,No,7,0,Yes
C0079,S01079,Monitor,Active,2021-11-14,2023-09-09,Standard,No,5,2,No
C0080,S01080,Printer,Active,2021-08-05,2023-11-08,Basic,Yes,10,5,No
C0081,S01081,Monitor,Expired,2021-06-09,2023-02-10,Premium,No,19,4,No
