Customer_ID,Serial_No,Product_Type,Contract_Status,Contract_Start,Contract_End,Support_Package,Warranty,Last_Year_Discount,Previous_Contracts,Renewal
C001,S101,Laptop,Active,2020-05-17,2021-11-12,Premium,Yes,10,2,Yes
C002,S102,Printer,Expired,2021-02-10,2022-03-05,Standard,No,12,1,No
C003,S103,Monitor,Active,2022-03-25,2023-03-24,Basic,Yes,7,3,Yes
C004,S104,Laptop,Expired,2020-11-12,2021-11-11,Standard,Yes,8,2,No
C005,S105,Printer,Active,2021-05-05,2022-05-04,Premium,No,15,1,Yes
C006,S106,Monitor,Active,2022-07-18,2023-07-17,Basic,Yes,9,3,Yes
C007,S107,Laptop,Expired,2020-03-10,2021-03-09,Standard,No,6,1,No
C008,S108,Printer,Active,2021-09-25,2022-09-24,Premium,Yes,11,2,Yes
C009,S109,Monitor,Expired,2020-06-30,2021-06-29,Basic,No,5,2,No
C010,S110,Laptop,Active,2022-01-20,2023-01-19,Standard,Yes,14,3,Yes
C011,S111,Printer,Expired,2020-12-01,2021-11-30,Premium,No,10,1,No
C012,S112,Monitor,Active,2021-07-15,2022-07-14,Basic,Yes,12,2,Yes
C013,S113,Laptop,Expired,2020-09-09,2021-09-08,Standard,No,7,2,No
C014,S114,Printer,Active,2022-02-14,2023-02-13,Premium,Yes,13,3,Yes
C015,S115,Monitor,Expired,2021-05-20,2022-05-19,Basic,No,8,1,No
C016,S116,Laptop,Active,2022-08-03,2023-08-02,Standard,Yes,15,3,Yes
C017,S117,Printer,Expired,2020-11-18,2021-11-17,Premium,No,9,2,No
C018,S118,Monitor,Active,2021-03-22,2022-03-21,Basic,Yes,10,1,Yes
C019,S119,Laptop,Expired,2020-01-05,2021-01-04,Standard,No,6,2,No
C020,S120,Printer,Active,2022-06-27,2023-06-26,Premium,Yes,14,3,Yes
