Customer_ID,Serial_No,Product_Type,Contract_Status,Contract_Start,Contract_End,Support_Package,Warranty,Last_Year_Discount,Previous_Contracts,Renewal
C007,S107,Laptop,Expired,2020-02-20,2021-04-03,Standard,No,33,4,No
C020,S120,Printer,Active,2022-07-17,2023-06-12,Premium,Yes,31,1,Yes
C015,S115,Monitor,Expired,2021-06-09,2022-05-08,Basic,No,12,4,No
C011,S111,Printer,Expired,2020-11-17,2021-11-30,Premium,No,8,1,No
C008,S108,Printer,Active,2021-09-21,2022-10-16,Premium,Yes,26,5,Yes
C007,S107,Laptop,Expired,2020-03-16,2021-02-25,Standard,No,19,2,No
C019,S119,Laptop,Expired,2019-12-15,2020-12-19,Standard,No,30,2,No
C011,S111,Printer,Expired,2020-11-19,2021-11-05,Premium,No,33,2,No
C011,S111,Printer,Expired,2020-12-02,2021-11-27,Premium,No,8,4,No
C004,S104,Laptop,Expired,2020-11-10,2021-11-18,Standard,Yes,27,4,No
C008,S108,Printer,Active,2021-09-17,2022-09-21,Premium,Yes,14,4,Yes
C003,S103,Monitor,Active,2022-02-25,2023-03-21,Basic,Yes,20,4,Yes
C002,S102,Printer,Expired,2021-02-21,2022-03-01,Standard,No,10,5,No
C012,S112,Monitor,Active,2021-08-01,2022-08-06,Basic,Yes,6,3,Yes
C006,S106,Monitor,Active,2022-07-22,2023-07-07,Basic,Yes,25,2,Yes
C002,S102,Printer,Expired,2021-02-02,2022-02-21,Standard,No,14,2,No
C001,S101,Laptop,Active,2020-06-14,2021-12-11,Premium,Yes,32,5,Yes
C012,S112,Monitor,Active,2021-08-08,2022-07-08,Basic,Yes,18,1,Yes
C012,S112,Monitor,Active,2021-07-21,2022-07-14,Basic,Yes,28,3,Yes
C017,S117,Printer,Expired,2020-12-11,2021-12-13,Premium,No,17,3,No
C010,S110,Laptop,Active,2022-02-14,2023-01-07,Standard,Yes,20,2,Yes
C016,S116,Laptop,Active,2022-08-24,2023-08-07,Standard,Yes,28,3,Yes
C015,S115,Monitor,Expired,2021-05-02,2022-06-03,Basic,No,9,1,No
C015,S115,Monitor,Expired,2021-05-21,2022-04-26,Basic,No,6,0,No
C019,S119,Laptop,Expired,2020-01-13,2021-01-12,Standard,No,33,3,No
C012,S112,Monitor,Active,2021-07-18,2022-07-04,Basic,Yes,26,2,Yes
C020,S120,Printer,Active,2022-07-24,2023-07-01,Premium,Yes,14,0,Yes
C003,S103,Monitor,Active,2022-04-14,2023-03-04,Basic,Yes,8,1,Yes
C005,S105,Printer,Active,2021-04-10,2022-05-10,Premium,No,28,2,Yes
C019,S119,Laptop,Expired,2020-01-20,2021-01-20,Standard,No,28,0,No
C007,S107,Laptop,Expired,2020-03-08,2021-03-24,Standard,No,30,2,No
C009,S109,Monitor,Expired,2020-07-29,2021-07-18,Basic,No,8,1,No
C007,S107,Laptop,Expired,2020-03-27,2021-03-07,Standard,No,14,1,No
C018,S118,Monitor,Active,2021-02-25,2022-03-06,Basic,Yes,30,4,Yes
C004,S104,Laptop,Expired,2020-11-07,2021-11-24,Standard,Yes,14,3,No
C014,S114,Printer,Active,2022-01-15,2023-02-21,Premium,Yes,23,4,Yes
C018,S118,Monitor,Active,2021-03-24,2022-03-13,Basic,Yes,29,2,Yes
C009,S109,Monitor,Expired,2020-07-23,2021-07-15,Basic,No,15,1,No
C002,S102,Printer,Expired,2021-02-16,2022-02-07,Standard,No,7,3,No
C020,S120,Printer,Active,2022-06-09,2023-07-20,Premium,Yes,13,2,Yes
C015,S115,Monitor,Expired,2021-06-12,2022-06-08,Basic,No,12,2,No
C007,S107,Laptop,Expired,2020-04-08,2021-03-14,Standard,No,24,3,No
C012,S112,Monitor,Active,2021-08-12,2022-07-25,Basic,Yes,18,1,Yes
C008,S108,Printer,Active,2021-09-13,2022-10-23,Premium,Yes,11,5,Yes
C015,S115,Monitor,Expired,2021-06-08,2022-06-11,Basic,No,9,5,No
C003,S103,Monitor,Active,2022-04-11,2023-03-08,Basic,Yes,16,0,Yes
C014,S114,Printer,Active,2022-02-10,2023-01-31,Premium,Yes,23,2,Yes
C017,S117,Printer,Expired,2020-12-02,2021-10-29,Premium,No,28,5,No
C004,S104,Laptop,Expired,2020-11-28,2021-12-02,Standard,Yes,8,3,No
C018,S118,Monitor,Active,2021-03-31,2022-03-13,Basic,Yes,11,1,Yes
C008,S108,Printer,Active,2021-09-09,2022-09-01,Premium,Yes,18,2,Yes
C004,S104,Laptop,Expired,2020-12-08,2021-10-30,Standard,Yes,26,1,No
C002,S102,Printer,Expired,2021-01-18,2022-03-24,Standard,No,16,1,No
C006,S106,Monitor,Active,2022-07-20,2023-07-12,Basic,Yes,14,3,Yes
C010,S110,Laptop,Active,2021-12-31,2022-12-30,Standard,Yes,25,1,Yes
C004,S104,Laptop,Expired,2020-12-11,2021-11-08,Standard,Yes,22,0,No
C018,S118,Monitor,Active,2021-04-18,2022-02-25,Basic,Yes,16,5,Yes
